time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0,312243	0,58034	0	0	0	lidar	1,29445e-321	0,312243	0,58034	0,6	0,6	5,19994	0
1477010443050000	0,735008	0,629142	7,21178	4,97579e-18	1,76461e-17	radar	81,1863	0,862916	0,534212	0,859997	0,600045	5,19975	0,00179686
1477010443100000	1,1097	0,543909	7,21344	-0,0865285	-0,00806245	lidar	1,82882	1,17385	0,481073	1,11998	0,600225	5,19943	0,00538996
1477010443150000	1,07995	0,457172	7,21748	-0,0389029	0,00383756	radar	5,88091	0,969149	0,397513	1,37996	0,600629	5,19898	0,0107781
1477010443200000	1,466	0,487494	7,22444	0,0215679	0,0229953	lidar	14,9826	1,65063	0,62469	1,6399	0,601347	5,19839	0,0179597
1477010443250000	1,65121	0,520677	6,40906	0,00700485	-0,158935	radar	51,085	1,62331	0,499091	1,89982	0,60247	5,19766	0,0269323
1477010443300000	2,00552	0,535076	6,41561	0,00443205	-0,148588	lidar	29,0875	2,18882	0,648739	2,1597	0,604086	5,19678	0,0376932
1477010443350000	2,19219	0,589176	5,69229	0,0530599	-0,376481	radar	142,426	1,96701	0,557117	2,41954	0,606284	5,19573	0,0502389
1477010443400000	2,49565	0,607064	5,69942	0,0352274	-0,370969	lidar	44,112	2,65526	0,66598	2,67932	0,609155	5,1945	0,0645654
1477010443450000	2,78506	0,612966	5,58167	-0,0034314	-0,499682	radar	240,903	2,92034	0,645898	2,93904	0,612786	5,19309	0,080668
1477010443500000	3,05702	0,609591	5,57811	-0,0252254	-0,488935	lidar	57,3136	3,01222	0,637046	3,19869	0,617267	5,19147	0,0985415
1477010443550000	3,36491	0,505771	5,59898	-0,177675	-0,916903	radar	276,309	3,56096	0,485311	3,45825	0,622685	5,18963	0,11818
1477010443600000	3,65556	0,440391	5,61673	-0,238299	-0,95891	lidar	93,8114	3,89365	0,311793	3,71772	0,62913	5,18754	0,139576
1477010443650000	3,96177	0,548001	5,56027	-0,0962432	-0,429262	radar	316,851	4,19786	0,698311	3,97708	0,636689	5,18519	0,162724
1477010443700000	4,24127	0,523096	5,56045	-0,113535	-0,418422	lidar	117,327	4,30935	0,578564	4,23632	0,645449	5,18256	0,187614
1477010443750000	4,50677	0,578868	5,43647	-0,0620406	-0,259432	radar	386,288	4,61908	0,68951	4,49542	0,655498	5,17962	0,214238
1477010443800000	4,74897	0,592643	5,39953	-0,0451482	-0,196986	lidar	123,296	4,35143	0,899174	4,75437	0,666921	5,17634	0,242587
1477010443850000	5,00677	0,606613	5,26146	-0,0401446	-0,170522	radar	433,026	5,20901	0,66599	5,01315	0,679804	5,1727	0,272649
1477010443900000	5,28263	0,59937	5,2706	-0,0461823	-0,165172	lidar	193,873	5,51894	0,648233	5,27175	0,694234	5,16867	0,304413
1477010443950000	5,52632	0,625797	5,30565	-0,0219298	-0,107455	radar	481,53	5,22834	0,639362	5,53013	0,710295	5,16422	0,337868
1477010444000000	5,80273	0,627751	5,31293	-0,0221167	-0,0983885	lidar	231,644	6,022	0,708619	5,78828	0,728072	5,15932	0,372999
